nodenumber     x-coordinate     y-coordinate     z-coordinate      temperature 
       165  2.407790634E-11  5.433392711E-03  3.600000218E-02  3.731335449E+02 
       166 -3.988909897E-11  7.411432918E-03  3.600000218E-02  3.731307678E+02 
       167 -1.442826969E-10  1.187863015E-02  3.600000218E-02  3.731215210E+02 
       168 -9.967829340E-11  1.613201760E-02  3.600000218E-02  3.731102905E+02 
       169 -7.332280616E-11  2.033977211E-02  3.600000218E-02  3.730982666E+02 
       170 -2.242051655E-09  2.500000037E-02  3.599999845E-02  3.730860596E+02 
       171  1.970945351E-10 -2.500000037E-02  3.999999911E-02  3.730862122E+02 
       172 -1.110701808E-10 -2.035816014E-02  3.999999911E-02  3.730985107E+02 
       173  8.522824113E-11 -1.615167223E-02  3.999999911E-02  3.731109619E+02 
       174 -1.303294833E-10 -1.219676808E-02  3.999999911E-02  3.731220093E+02 
       175  1.436405855E-11 -8.720454760E-03  3.999999911E-02  3.731297913E+02 
       176 -2.716951664E-11 -5.612935405E-03  3.999999911E-02  3.731348267E+02 
       177 -1.561184515E-11 -5.501045845E-03  3.999999911E-02  3.731350098E+02 
       178  1.225542584E-10 -2.388990717E-03  3.999999911E-02  3.731376343E+02 
       179  3.288053423E-12 -3.428672499E-04  3.999999911E-02  3.731383362E+02 
       180  9.326660277E-11  6.292776379E-05  3.999999911E-02  3.731383972E+02 
       181  7.396148971E-11  3.070792882E-03  3.999999911E-02  3.731365967E+02 
       182  2.524727649E-11  5.433392711E-03  3.999999911E-02  3.731341248E+02 
       183  4.185676111E-12  7.411433384E-03  3.999999911E-02  3.731313477E+02 
       184 -1.442826969E-10  1.187863015E-02  3.999999911E-02  3.731220398E+02 
       185 -7.057446294E-11  1.613201760E-02  3.999999911E-02  3.731108093E+02 
       186 -7.839187632E-12  2.033977211E-02  3.999999911E-02  3.730985107E+02 
       187 -2.163369706E-09  2.500000037E-02  3.999999911E-02  3.730862122E+02 
       188  1.184124049E-10 -2.500000037E-02  4.399999976E-02  3.730863342E+02 
       189 -1.692778417E-10 -2.035816014E-02  4.399999976E-02  3.730988770E+02 
       190  2.702058022E-11 -1.615167223E-02  4.399999976E-02  3.731113892E+02 
       191 -1.885371442E-10 -1.219676808E-02  4.399999976E-02  3.731224670E+02 
       192  1.436405855E-11 -8.720454760E-03  4.399999976E-02  3.731303711E+02 
       193  1.509310038E-11 -5.612934940E-03  4.399999976E-02  3.731353455E+02 
       194 -4.107769680E-11 -5.501045380E-03  4.399999976E-02  3.731355286E+02 
       195  9.345042795E-11 -2.388990717E-03  4.399999976E-02  3.731381531E+02 
       196  1.240137333E-12 -3.428672499E-04  4.399999976E-02  3.731387939E+02 
